County,COUNTY_NAM,FIPS,% Low birthweight,Teen Birth Rate,Preventable Hospitalization Rate,% With Annual Mammogram,% Children in Poverty,Injury Death Rate,Life Expectancy,Age-adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,Drug Overdose Mortality Rate,ELA Average Grade Performance,Math Average Grade Performance,Median Household Income,Homicide Rate,Suicide Rate,Firearm Fatalities Rate,COVID-19 death rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,% Insufficient Sleep,% Disconnected Youth,School_Segregation,Spending per-pupil,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,% Enrolled in Free or Reduced Lunch,Res_BW_Segregation,Res_WNW_Segregation,Juvenile Arrest Rate,% Homeowners,% Severe Housing Cost Burden,% Broadband Access,Population,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic white,Pct_Other,% rural,% Fair or Poor Health,% Smokers,% Adults with Obesity,Food Environment Index,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,% Completed High School,% Some College,% Unemployed,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems
Lackawanna,LACKAWANNA,42069,8.61,16.5,4103,46,16.3,93.96,76.56,424.71,42.53,6.56,40.51,3.05,2.92,56911,2.24,16.76,10.56,78.4,13,15.4,9.3,228.2,12.7,4.07,39.13,6.93,0.15,13562.8,41654,50795,0.82,60.59,59.31,41.88,16.7,64.19,13.34,81.5,208989,20.37,20.64,3.26,0.34,3.21,0.07,8.91,83.01,1.2,16.31,18.8,20.9,34.5,8,18.87,23.53,7.11,91.49,63.7,9.59,27.7,213.4,8.3,15.79
Lancaster,LANCASTER,42071,6.61,13.33,2684,51,9.8,72.62,79.98,291.5,46.3,5.75,22.93,3.23,3.13,73006,2.09,11,8.47,88.93,12.5,14.9,9.2,175.1,9,4.85,37.41,7.27,0.17,14908,42125,55131,0.76,46.52,58.66,49.04,14.86,69.36,12.09,81.59,546192,23.23,18.96,3.6,0.45,2.61,0.11,11.21,80.92,1.1,21.26,18.8,20,31.3,8.6,18.37,21.17,11.18,85.64,58.88,7.5,16.39,170.43,10.1,14.82
Lawrence,LAWRENCE,42073,8.91,20.73,4335,43,18.3,118.99,75.77,447.12,73.04,5.46,43.62,3.1,2.92,50373,4.93,19.7,17.4,90.97,13.6,16.7,9.1,97.9,12.7,6.88,39.56,4.75,0.18,14965.75,37072,52017,0.71,57.52,63.65,49.82,17.59,74.75,10.52,80.86,85083,19.92,22.95,4.19,0.18,0.45,0.02,1.67,91.34,2.15,40.32,19.2,22.4,34.5,7.7,19.76,18.18,6.57,91.31,60.76,10.32,26.69,228.82,9.4,13.33
Lebanon,LEBANON,42075,8.22,19.9,2720,53,12.9,70.94,78.43,343.45,37.43,4.48,21.19,3.11,3.04,63605,1.74,13.95,10.66,70.78,13,15.4,9.5,179.1,9.8,4.47,38.25,8.08,0.22,13195,39599,52222,0.76,49.57,57.15,44.3,14.39,70.53,10.65,82.4,141663,22.56,20.14,2.04,0.41,1.7,0.09,14.49,80.49,0.78,26.56,19.9,21.4,35,8.5,19.21,15.15,8.19,87.65,54.72,7.95,24.83,153.94,9.4,13.16
Lehigh,LEHIGH,42077,8.3,20.11,4151,53,18.6,85.92,78.98,322.2,44.39,6.27,27.43,3.03,3.03,65733,3.6,13.58,9.63,103.17,12.8,14.4,10.2,382.3,10,4.19,38.1,4.07,0.23,15982.44,43855,55042,0.8,54.13,47.03,42.85,17.58,64.72,14,85.42,370802,22.58,17.37,5.92,1.08,3.9,0.19,27.09,61.45,0.37,7.93,20.4,17.6,37.4,8.5,18.31,25.71,8.06,89.53,64.49,9.57,28.64,231.03,8.8,15.74
Luzerne,LUZERNE,42079,8.22,21.77,4105,47,23.7,104.11,75.67,458.79,54.65,6.2,48.21,2.92,2.76,52281,3.64,18.28,12.42,91.09,13.7,15.3,9.6,164.7,12.5,5.06,43.05,9.15,0.25,13817.33,39571,49155,0.81,70.68,58.79,48.49,13.25,68.03,11.79,80.51,316982,19.95,20.36,4.3,0.72,1.45,0.1,14.85,78.07,0.51,19.98,20.5,21.7,33.2,7.9,21.22,23.29,7.43,90.16,60.44,10.87,32.49,264.47,8.3,13.24
Lycoming,LYCOMING,42081,8.43,19.09,2623,58,19.3,83.44,77.43,379.14,59.2,7.09,28.81,3.25,3.39,56751,9.35,17.5,10.01,70.57,13.1,16.3,9,198.3,12.1,8.43,36.72,9.28,0.14,13971.13,35632,48849,0.73,47.26,68.25,47.65,31.04,68.57,12.4,81.74,113209,20.44,20.31,4.6,0.27,0.76,0.04,2.19,89.99,2.15,36.28,18.5,22.3,34.2,7.7,19.58,30.36,6.67,90.47,61.46,8.79,24.22,211.99,7.7,13.84
McKean,MCKEAN,42083,8.4,21.65,5035,52,20,69.22,76.9,409.72,46.56,,17.22,2.96,2.86,52359,,13.8,9.75,41.72,14.2,16.8,9.6,51.4,13.7,0.71,40.29,,0.05,14966,37593,47608,0.79,71.39,,39.9,23.85,74.37,8.98,78.3,40333,19.63,20.31,2.34,0.38,0.65,0.06,2.34,93.2,1.03,63.54,20,23.8,35.5,8.1,19.94,33.33,6.33,91.78,52.53,9.88,24.32,287.8,7.1,9.96
Mercer,MERCER,42085,7.85,18.11,4125,48,20.3,106.63,76.25,432.54,63.41,7.37,44.12,3.24,3.29,51743,4.22,17.65,15.18,87.71,13.7,16.3,9.1,84.2,12.6,7.86,38.81,5.55,0.25,17126.25,37700,50858,0.74,51.43,69.2,60.31,18.04,71.81,8.94,80.39,108545,19.06,22.85,5.72,0.24,0.74,0.03,1.62,89.88,1.77,44.49,19.5,22,33.7,7.6,19.44,30.77,7.13,89.85,58.2,9.68,26.15,215.58,8.2,11.77
Mifflin,MIFFLIN,42087,6.93,21.95,2972,52,21,86.96,76.92,398.06,82.47,10.27,19.51,2.73,2.82,54517,,18.48,14.71,152.73,15,18,9.6,69.6,12.4,6.94,40.29,12.28,0.05,12968,35189,44140,0.8,58.29,66.7,48.36,16.52,73.01,7.94,75.67,46064,22.37,22.25,0.83,0.18,0.54,0.03,1.77,95.67,0.98,50.47,21.8,25.5,37.2,7.7,19.07,26.67,9.56,84.78,43.18,8.36,16.58,131.28,8.5,13.38
Monroe,MONROE,42089,9.28,9.75,5139,47,13.5,91.82,78.21,362.65,40.69,6.17,33.53,3.08,3.12,71686,3.48,16.36,12.56,97.8,12.7,14.5,10.2,231.9,9.4,5.51,40.67,6.1,0.06,19002.25,42208,53805,0.78,45.84,38.31,35.63,11.56,77.08,14.67,87.59,170154,19.32,18.52,13.98,0.68,2.71,0.14,17.62,63.48,1.39,38.35,19.8,19.5,35.7,8.5,19.28,29.17,8.32,89.57,60.2,11.54,24.37,234.89,8.3,17.25
Montgomery,MONTGOMERY,42091,7.32,6.54,3643,48,5.7,69.84,80.46,274.75,29.3,4.11,26.55,3.42,3.45,94094,1.9,12.58,6.81,92.89,9.9,13,8,131.2,6.9,3.77,39.56,3.76,0.13,18683.33,58721,74902,0.78,28.8,49.78,34.63,11.76,71.86,12.19,91,833869,21.36,18.55,9.52,0.26,8.25,0.07,5.64,74.5,1.76,2.93,14.3,14.9,29.6,9.1,20.1,20.83,4.88,94.35,79.87,7.61,17.1,135.48,7.7,14.07
Montour,MONTOUR,42093,7.37,13.93,2728,55,13,126.2,77.98,373.46,,,33.02,3.48,3.46,63341,10.13,19.68,12.07,79.97,12.5,15.3,8.6,141.4,10.5,4.27,37.37,,0.01,15360,43306,59885,0.72,30.79,,45.04,,68.98,9.53,79.16,18042,20.15,22.15,1.93,0.23,3.53,0.03,2.79,90.43,1.06,53.77,18,20.4,33.8,8.4,19.41,6.25,6.22,91.11,64.65,6.13,25.16,277.3,8.1,10.36
Northampton,NORTHAMPTON,42095,8.21,10.76,4043,52,10.4,81.16,79.74,309.05,28.5,4.33,30.57,3.16,3.13,73903,1.88,15,8.21,85.93,11.6,13.9,8.9,72.8,8.6,4.75,40.52,4.09,0.14,15682,45513,57480,0.79,44.32,48.87,40.58,25.17,71.2,12.04,84.92,305892,19.64,19.96,5.79,0.45,3.14,0.13,14.62,74.66,1.21,12.77,17.2,18,32.6,8.7,21.28,25.23,5.84,91.26,66.89,8.96,20.98,212.26,9.7,14.25
Northumberland,NORTHUMBERLAND,42097,7.81,25.56,3903,54,16.9,99.4,76.13,429.97,54.72,6.22,39.68,3.06,3.03,47825,2.95,13.41,8.54,152.84,14.3,16.9,9.4,113.6,12.7,2.25,39.3,12.5,0.07,13515.67,36801,47265,0.78,52.42,58.5,36.3,27.83,71.18,9.92,77.35,90258,19.45,22.2,2.65,0.3,0.49,0.04,4.18,91.46,0.88,34.86,20.9,23.9,38,8.1,18.97,22.81,6.37,89.14,50.22,9.37,23.38,251.14,8.5,12.33
Perry,PERRY,42099,6.95,21.48,3205,50,12.1,98.02,77.65,362.83,58.33,6.11,31.02,3.15,3.13,68991,,19.37,13.44,67.39,13.5,16.7,8.9,51,9.6,2.29,39.86,7.81,0.06,14655,43139,55138,0.78,38.57,45.17,20.63,13.33,81.11,8.02,82.2,46212,21.15,19.71,1.04,0.32,0.52,0.05,2.23,94.91,0.93,88.5,19.6,22.4,33.9,8.8,20.91,42.86,9.02,88.14,49.21,6.75,13.46,187.63,9,9.84
Philadelphia,PHILADELPHIA,42101,10.91,27.24,5366,41,27,120.44,75.29,508.94,68.54,7.54,64.66,2.49,2.26,55102,21.07,10.09,23.93,140.6,15,16.2,13.1,1294,14.4,0.31,45.31,9.31,0.31,12421,44608,50929,0.88,96.37,70.11,58.26,15.56,52.81,20.23,80.55,1578487,21.46,14.38,40.24,0.91,7.9,0.18,15.57,34.15,1.05,0,24,20.2,32.9,8,17.43,17.66,8.96,85.74,65.08,12.37,48.96,1001.47,9.8,23.03
Pike,PIKE,42103,7.97,9.08,3609,40,13.6,98.9,79.73,349.86,30.17,,36.95,,3.32,66614,3.07,16.88,14.33,52.87,12,14.4,9.2,262.8,9.9,2.67,40.02,6.45,0.11,20435.5,40768,62343,0.65,44.31,75.83,52.98,,84.3,16.54,88.37,56072,17.26,24.01,5.57,0.57,1.59,0.04,11.88,79.29,1.06,70.76,17.7,18.3,34.8,8.7,20.69,31.11,7.41,92.42,67.09,10.62,15.65,146.54,7.6,17.7
Potter,POTTER,42105,6.92,30.44,4506,44,19.7,98.45,78.95,356.59,,,,3.13,3,51744,,21.58,19.21,50.51,14.6,17.6,9.4,56.4,13.4,1.47,40.56,,0.1,17194.2,35000,44092,0.79,45.24,,34.57,20.63,77.93,10.67,79.89,16453,20,25.04,0.57,0.41,0.43,0.01,1.53,96.26,0.79,100,20.8,24.5,34.5,8.1,19.56,35.71,7.31,88.88,51.48,9.31,19.49,221.81,6.5,12.18
Schuylkill,SCHUYLKILL,42107,7.96,20.71,4394,42,17.4,110.38,75,478.08,63.76,8.35,42.44,3.09,2.95,52307,6.2,22.35,14.78,105.41,13.8,16.5,9.3,158.1,12,2.4,41.34,6.89,0.16,13805.18,37290,50974,0.73,51.76,54.5,43.87,17.41,75.21,10.11,79.39,140709,19.66,21.18,2.96,0.39,0.59,0.05,5.79,89.45,0.77,36.46,20.2,23.7,34.3,8.3,19.87,24.75,6.13,89.39,52.57,9.23,28.36,319.44,8.7,12.26
Snyder,SNYDER,42109,6.34,12.42,2786,58,13.8,69.14,80.76,277.64,,,15.67,3.3,3.36,58474,,10.61,6.42,65.26,13.6,16.6,8.9,69.4,10.9,2.83,39.12,5.24,0.05,13883,40131,45874,0.87,43.17,49.46,22.97,15.5,73.29,7.27,77.33,40317,20.6,19.95,1.07,0.18,0.68,0.07,2.37,94.81,0.82,66.82,19.2,22.7,34.5,8.4,20.17,29.17,8.67,86.7,50.16,7.65,12.37,188.06,8.4,11.08
Somerset,SOMERSET,42111,7.63,18.23,3064,47,16,99.76,77.65,375.74,49.17,4.95,24.06,3.27,3.38,51916,2.11,15.43,10.81,76.44,14,16.9,9.3,110.3,11.9,5.75,40.96,11.36,0.08,14998.64,34832,47058,0.74,45.69,97.01,46.5,11.77,79.81,7.34,75.05,72916,17.97,23.44,2.91,0.2,0.51,0.03,1.58,94.15,0.62,70.8,20.2,23.4,38.7,8,20.71,33.9,7.62,88.83,48.77,9.47,18.48,114.77,7.9,9.58
